Time;Voltage
0;-145.379277575758
50;-137.727272727273
100;-145.379277575758
150;-153.030303030303
200;-145.379277575758
250;-168.333333333333
300;-168.333333333333
350;-160.681328484848
400;-175.985338181818
450;-175.985338181818
500;-168.333333333333
550;-191.287389090909
600;-183.636363636364
650;-183.636363636364
700;-198.939393939394
750;-191.287389090909
800;-198.939393939394
850;-206.591398787879
900;-198.939393939394
950;-206.591398787879
1000;-221.89344969697
1050;-206.591398787879
1100;-221.89344969697
1150;-229.545454545455
1200;-221.89344969697
1250;-229.545454545455
1300;-237.197459393939
1350;-221.89344969697
1400;-237.197459393939
1450;-237.197459393939
1500;-229.545454545455
1550;-252.49951030303
1600;-244.848484848485
1650;-244.848484848485
1700;-267.80352
1750;-252.49951030303
1800;-252.49951030303
1850;-267.80352
1900;-252.49951030303
1950;-260.151515151515
2000;-267.80352
2050;-252.49951030303
2100;-260.151515151515
2150;-267.80352
2200;-260.151515151515
2250;-267.80352
2300;-275.454545454545
2350;-260.151515151515
2400;-275.454545454545
2450;-275.454545454545
2500;-267.80352
2550;-283.105570909091
2600;-267.80352
2650;-267.80352
2700;-283.105570909091
2750;-275.454545454545
2800;-275.454545454545
2850;-290.757575757576
2900;-275.454545454545
2950;-283.105570909091
3000;-290.757575757576
3050;-283.105570909091
3100;-290.757575757576
3150;-298.409580606061
3200;-290.757575757576
3250;-298.409580606061
3300;-298.409580606061
3350;-283.105570909091
3400;-306.060606060606
3450;-306.060606060606
3500;-290.757575757576
3550;-306.060606060606
3600;-298.409580606061
3650;-290.757575757576
3700;-306.060606060606
3750;-290.757575757576
3800;-298.409580606061
3850;-313.711631515152
3900;-290.757575757576
3950;-298.409580606061
4000;-313.711631515152
4050;-298.409580606061
4100;-306.060606060606
4150;-313.711631515152
4200;-290.757575757576
4250;-306.060606060606
4300;-313.711631515152
4350;-298.409580606061
4400;-313.711631515152
4450;-306.060606060606
4500;-298.409580606061
4550;-313.711631515152
4600;-306.060606060606
4650;-298.409580606061
4700;-306.060606060606
4750;-290.757575757576
4800;-283.105570909091
4850;-290.757575757576
4900;-275.454545454545
4950;-275.454545454545
5000;-283.105570909091
5050;-267.80352
5100;-267.80352
5150;-283.105570909091
5200;-260.151515151515
5250;-267.80352
5300;-267.80352
5350;-260.151515151515
5400;-260.151515151515
5450;-267.80352
5500;-252.49951030303
5550;-260.151515151515
5600;-252.49951030303
5650;-244.848484848485
5700;-252.49951030303
5750;-244.848484848485
5800;-237.197459393939
5850;-244.848484848485
5900;-229.545454545455
5950;-221.89344969697
6000;-237.197459393939
6050;-214.242424242424
6100;-221.89344969697
6150;-221.89344969697
6200;-206.591398787879
6250;-214.242424242424
6300;-214.242424242424
6350;-198.939393939394
6400;-198.939393939394
6450;-206.591398787879
6500;-191.287389090909
6550;-198.939393939394
6600;-191.287389090909
6650;-183.636363636364
6700;-191.287389090909
6750;-175.985338181818
6800;-168.333333333333
6850;-175.985338181818
6900;-153.030303030303
6950;-153.030303030303
7000;-168.333333333333
7050;-145.379277575758
7100;-137.727272727273
7150;-153.030303030303
7200;-137.727272727273
7250;-137.727272727273
7300;-137.727272727273
7350;-114.773216969697
7400;-114.773216969697
7450;-122.424242424242
7500;-107.121212121212
7550;-114.773216969697
7600;-107.121212121212
7650;-91.8181818181818
7700;-107.121212121212
7750;-91.8181818181818
7800;-84.1666666666667
7849;-91.8181818181818
7900;-68.8636363636364
7950;-61.2121212121212
8000;-76.5151515151515
8050;-53.5606060606061
8100;-53.5606060606061
8149;-61.2121212121212
8200;-38.2575757575758
8250;-45.9090909090909
8300;-45.9090909090909
8350;-22.9545454545455
8400;-30.6060606060606
8450;-30.6060606060606
8500;-7.65151515151515
8550;-15.3030303030303
8600;-15.3030303030303
8650;7.65151515151515
8700;0
8750;7.65151515151515
8800;15.3030303030303
8850;7.65151515151515
8900;22.9545454545455
8950;30.6060606060606
9000;22.9545454545455
9050;45.9090909090909
9100;45.9090909090909
9150;38.2575757575758
9200;53.5606060606061
9250;53.5606060606061
9300;45.9090909090909
9350;68.8636363636364
9400;68.8636363636364
9450;61.2121212121212
9500;84.1666666666667
9550;76.5151515151515
9600;76.5151515151515
9650;99.4692072727273
9700;91.8181818181818
9750;91.8181818181818
9800;107.121212121212
9850;99.4692072727273
9900;114.773216969697
9950;114.773216969697
10000;107.121212121212
10050;130.075267878788
10100;130.075267878788
10150;122.424242424242
10200;145.379277575758
10250;137.727272727273
10300;137.727272727273
10350;153.030303030303
10400;153.030303030303
10450;153.030303030303
10500;168.333333333333
10550;168.333333333333
10600;160.681328484848
10650;183.636363636364
10700;168.333333333333
10750;168.333333333333
10800;183.636363636364
10850;175.985338181818
10900;191.287389090909
10950;198.939393939394
11000;183.636363636364
11050;198.939393939394
11100;206.591398787879
11150;198.939393939394
11200;214.242424242424
11250;214.242424242424
11300;206.591398787879
11350;221.89344969697
11400;221.89344969697
11450;214.242424242424
11500;229.545454545455
11550;229.545454545455
11600;221.89344969697
11650;237.197459393939
11700;229.545454545455
11750;229.545454545455
11800;244.848484848485
11850;229.545454545455
11900;237.197459393939
11950;252.49951030303
12000;237.197459393939
12050;252.49951030303
12100;252.49951030303
12150;244.848484848485
12200;252.49951030303
12250;252.49951030303
12300;244.848484848485
12350;260.151515151515
12400;260.151515151515
12450;244.848484848485
12500;260.151515151515
12550;260.151515151515
12600;252.49951030303
12650;267.80352
12700;267.80352
12750;260.151515151515
12800;267.80352
12850;260.151515151515
12900;260.151515151515
12950;275.454545454545
13000;267.80352
13050;275.454545454545
13100;283.105570909091
13150;275.454545454545
13200;283.105570909091
13250;283.105570909091
13300;275.454545454545
13350;290.757575757576
13400;283.105570909091
13450;283.105570909091
13500;290.757575757576
13550;290.757575757576
13600;283.105570909091
13650;290.757575757576
13700;290.757575757576
13750;283.105570909091
13800;298.409580606061
13850;290.757575757576
13900;290.757575757576
13950;290.757575757576
14000;283.105570909091
14050;290.757575757576
14100;298.409580606061
14150;283.105570909091
14200;298.409580606061
14250;298.409580606061
14300;283.105570909091
14350;298.409580606061
14400;298.409580606061
14450;283.105570909091
14500;298.409580606061
14550;290.757575757576
14600;283.105570909091
14650;298.409580606061
14700;283.105570909091
14750;275.454545454545
14800;283.105570909091
14850;267.80352
14900;267.80352
14950;275.454545454545
15000;260.151515151515
15050;260.151515151515
15100;267.80352
15150;252.49951030303
15200;260.151515151515
15250;260.151515151515
15300;244.848484848485
15350;260.151515151515
15400;252.49951030303
15450;237.197459393939
15500;244.848484848485
15550;237.197459393939
15600;229.545454545455
15650;244.848484848485
15699;229.545454545455
15750;221.89344969697
15800;237.197459393939
15850;221.89344969697
15900;221.89344969697
15949;229.545454545455
16000;214.242424242424
16049;206.591398787879
16100;214.242424242424
16150;198.939393939394
16200;206.591398787879
16250;206.591398787879
16299;191.287389090909
16350;198.939393939394
16400;198.939393939394
16450;175.985338181818
16500;191.287389090909
16550;183.636363636364
16600;168.333333333333
16650;183.636363636364
16700;168.333333333333
16750;160.681328484848
16800;168.333333333333
16850;160.681328484848
16900;145.379277575758
16950;153.030303030303
17000;137.727272727273
17050;130.075267878788
17100;137.727272727273
17150;122.424242424242
17200;122.424242424242
17250;122.424242424242
17300;99.4692072727273
17350;107.121212121212
17400;107.121212121212
17450;91.8181818181818
17500;107.121212121212
17550;99.4692072727273
17600;76.5151515151515
17650;91.8181818181818
17700;76.5151515151515
17750;61.2121212121212
17800;76.5151515151515
17850;61.2121212121212
17900;53.5606060606061
17950;61.2121212121212
18000;53.5606060606061
18050;45.9090909090909
18100;45.9090909090909
18150;30.6060606060606
18200;30.6060606060606
18250;30.6060606060606
18300;7.65151515151515
18350;15.3030303030303
18400;15.3030303030303
18450;-7.65151515151515
18500;0
18550;-7.65151515151515
18600;-22.9545454545455
18650;-7.65151515151515
18700;-22.9545454545455
18750;-30.6060606060606
18800;-22.9545454545455
18850;-30.6060606060606
18900;-45.9090909090909
18950;-30.6060606060606
19000;-45.9090909090909
19050;-61.2121212121212
19100;-45.9090909090909
19150;-61.2121212121212
19200;-68.8636363636364
19250;-61.2121212121212
19300;-84.1666666666667
19350;-76.5151515151515
19400;-76.5151515151515
19450;-99.4692072727273
19500;-91.8181818181818
19550;-91.8181818181818
19600;-114.773216969697
19650;-99.4692072727273
19700;-107.121212121212
19750;-122.424242424242
19800;-107.121212121212
19850;-122.424242424242
19900;-130.075267878788
19950;-122.424242424242
20000;-137.727272727273
20050;-145.379277575758
20100;-137.727272727273
20150;-145.379277575758
20200;-160.681328484848
20250;-153.030303030303
20300;-168.333333333333
20350;-168.333333333333
20400;-160.681328484848
20450;-183.636363636364
20500;-168.333333333333
20550;-175.985338181818
20600;-191.287389090909
20650;-175.985338181818
20700;-183.636363636364
20750;-198.939393939394
20800;-183.636363636364
20850;-198.939393939394
20900;-206.591398787879
20950;-198.939393939394
21000;-206.591398787879
21050;-214.242424242424
21100;-206.591398787879
21150;-214.242424242424
21200;-229.545454545455
21250;-221.89344969697
21300;-237.197459393939
21350;-237.197459393939
21400;-221.89344969697
21450;-244.848484848485
21500;-237.197459393939
21550;-229.545454545455
21600;-252.49951030303
21650;-244.848484848485
21700;-244.848484848485
21750;-260.151515151515
21800;-252.49951030303
21850;-252.49951030303
21900;-267.80352
21950;-252.49951030303
22000;-260.151515151515
22050;-267.80352
22100;-252.49951030303
22150;-260.151515151515
22200;-275.454545454545
22250;-260.151515151515
22300;-267.80352
22350;-275.454545454545
22400;-260.151515151515
22450;-283.105570909091
22500;-275.454545454545
22550;-267.80352
22600;-275.454545454545
22650;-275.454545454545
22700;-267.80352
22750;-290.757575757576
22800;-275.454545454545
22850;-275.454545454545
22900;-290.757575757576
22950;-275.454545454545
23000;-290.757575757576
23050;-298.409580606061
23100;-283.105570909091
23150;-290.757575757576
23200;-306.060606060606
23250;-290.757575757576
23300;-298.409580606061
23350;-306.060606060606
23400;-290.757575757576
23450;-306.060606060606
23500;-306.060606060606
23550;-298.409580606061
23600;-313.711631515152
23650;-298.409580606061
23700;-290.757575757576
23750;-313.711631515152
23800;-298.409580606061
23850;-298.409580606061
23900;-313.711631515152
23950;-298.409580606061
24000;-298.409580606061
24050;-313.711631515152
24100;-298.409580606061
24150;-306.060606060606
24200;-313.711631515152
24250;-298.409580606061
24300;-306.060606060606
24350;-313.711631515152
24400;-298.409580606061
24450;-306.060606060606
24500;-313.711631515152
24550;-298.409580606061
24600;-313.711631515152
24650;-306.060606060606
24700;-290.757575757576
24750;-306.060606060606
24800;-290.757575757576
24850;-283.105570909091
24900;-290.757575757576
24950;-275.454545454545
25000;-275.454545454545
25050;-290.757575757576
25100;-267.80352
25150;-267.80352
25200;-283.105570909091
25250;-260.151515151515
25300;-267.80352
25350;-267.80352
25400;-260.151515151515
25450;-260.151515151515
25500;-260.151515151515
25550;-252.49951030303
25600;-260.151515151515
25650;-252.49951030303
25700;-244.848484848485
25750;-252.49951030303
25800;-237.197459393939
25850;-229.545454545455
25900;-244.848484848485
25950;-229.545454545455
26000;-229.545454545455
26050;-237.197459393939
26100;-221.89344969697
26150;-214.242424242424
26200;-229.545454545455
26250;-206.591398787879
26300;-214.242424242424
26350;-214.242424242424
26400;-198.939393939394
26450;-198.939393939394
26500;-206.591398787879
26550;-191.287389090909
26600;-198.939393939394
26650;-191.287389090909
26700;-175.985338181818
26750;-191.287389090909
26800;-175.985338181818
26850;-168.333333333333
26900;-175.985338181818
26950;-160.681328484848
27000;-153.030303030303
27050;-168.333333333333
27100;-145.379277575758
27150;-145.379277575758
27200;-153.030303030303
27250;-130.075267878788
27300;-137.727272727273
27350;-137.727272727273
27400;-114.773216969697
27450;-122.424242424242
27500;-122.424242424242
27550;-107.121212121212
27600;-107.121212121212
27650;-107.121212121212
27700;-91.8181818181818
27750;-99.4692072727273
27800;-91.8181818181818
27850;-76.5151515151515
27900;-91.8181818181818
27950;-76.5151515151515
28000;-68.8636363636364
28050;-76.5151515151515
28100;-53.5606060606061
28150;-53.5606060606061
28200;-61.2121212121212
28250;-38.2575757575758
28300;-38.2575757575758
28350;-45.9090909090909
28400;-22.9545454545455
28450;-22.9545454545455
28500;-30.6060606060606
28550;-7.65151515151515
28600;-7.65151515151515
28650;-15.3030303030303
28700;7.65151515151515
28750;0
28800;7.65151515151515
28850;15.3030303030303
28900;7.65151515151515
